City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,cabo san lucas,22.8909,-109.9124,30.98,85,9,4.47,MX,1695739690
185,banda aceh,5.5577,95.3222,26.82,81,100,4.92,ID,1695740156
186,luganville,-15.5333,167.1667,23.45,77,99,5.25,VU,1695740156
187,nemuro,43.3236,145.575,16.71,89,74,2.44,JP,1695740156
188,kavieng,-2.5744,150.7967,26.85,85,100,6.93,PG,1695740156
189,muisne,0.6,-80.0333,26.36,77,98,4.08,EC,1695740157
190,yanam,16.7333,82.2167,26.24,92,9,1.49,IN,1695740157
191,barah,13.7,30.3667,36.47,29,25,2.07,SD,1695740157
192,poronaysk,49.2167,143.1167,8.89,92,89,1.66,RU,1695740157
193,namibe,-15.1961,12.1522,20.0,74,13,5.12,AO,1695740064
194,nar'yan-mar,67.6713,53.087,7.48,98,100,4.47,RU,1695740158
195,khorixas,-20.3667,14.9667,31.17,6,0,4.2,NA,1695740158
196,lompoc,34.6391,-120.4579,17.66,56,0,8.94,US,1695740158
197,serra talhada,-7.9919,-38.2983,35.53,24,100,3.42,BR,1695740159
198,new ulm,44.3125,-94.4605,16.98,92,100,3.09,US,1695740159
199,hammerfest,70.6634,23.6821,13.25,67,75,4.63,NO,1695740159
200,south suffolk,36.7171,-76.5902,21.05,90,100,1.79,US,1695740159
201,lautoka,-17.6167,177.4667,22.92,94,75,2.57,FJ,1695740160
202,leua,48.2156,18.6071,26.94,39,10,3.59,SK,1695740160
203,happy valley-goose bay,53.3168,-60.3315,9.17,76,75,3.09,CA,1695740160
204,ormara,25.2088,64.6357,26.81,78,9,1.98,PK,1695740161
205,bebedja,8.6761,16.566,30.72,66,66,0.98,TD,1695740161
206,mugia,43.1041,-9.2179,24.39,78,98,2.91,ES,1695740161
207,geraldton,-28.7667,114.6,13.23,94,0,3.6,AU,1695740161
208,torghay,49.6339,63.4981,21.79,44,69,1.62,KZ,1695740162
209,juli,-16.2167,-69.45,13.36,31,2,2.46,PE,1695740162
210,gazojak,41.1875,61.4036,23.43,21,0,3.13,TM,1695740162
211,constantia,44.1833,28.65,25.39,61,21,10.54,RO,1695740163
212,shingu,33.7333,135.9833,21.86,86,4,1.9,JP,1695740163
213,kingscliff,-28.2667,153.5667,17.89,72,4,2.57,AU,1695740163
214,nadym,65.5333,72.5167,4.18,76,5,3.84,RU,1695740163
215,richards bay,-28.783,32.0377,21.58,59,13,6.42,ZA,1695740163
216,fale old settlement,-9.3852,-171.2468,27.27,81,78,4.94,TK,1695740164
217,itoman,26.1247,127.6694,28.01,86,20,4.63,JP,1695740164
218,kudahuvadhoo,2.6708,72.8944,27.84,78,64,3.81,MV,1695740164
219,port saint john's,-31.6229,29.5448,17.78,65,99,10.23,ZA,1695740164
220,choibalsan,48.0667,114.5,7.45,45,81,10.14,MN,1695740165
221,port lincoln,-34.7333,135.8667,12.68,79,33,5.39,AU,1695740165
222,berezovyy,51.6667,135.7,10.86,87,100,0.96,RU,1695740165
223,pingliang,35.5392,106.6861,15.26,79,74,0.02,CN,1695740165
224,tatarsk,55.219,75.9828,11.99,75,83,6.37,RU,1695740166
225,kyzyl-mazhalyk,51.1333,90.6,3.77,47,8,0.94,RU,1695740166
226,airuk,7.2772,168.8203,28.06,81,100,6.96,MH,1695740166
227,dudinka,69.4058,86.1778,2.57,99,100,3.74,RU,1695740167
228,magadan,59.5667,150.8,3.97,73,90,1.62,RU,1695740167
229,kurumkan,54.3,110.3,10.24,67,58,0.38,RU,1695740167
230,giddarbaha,30.2,74.6667,29.61,40,0,2.7,IN,1695740167
231,st. john's,47.5649,-52.7093,14.43,65,0,2.68,CA,1695740167
232,hasaki,35.7333,140.8333,22.38,83,42,1.64,JP,1695740168
233,ta`u,-14.2336,-169.5144,26.09,77,48,9.34,AS,1695740168
234,cockburn town,21.4612,-71.1419,30.98,66,40,3.09,TC,1695740168
